time,av_autocorr_x,av_autocorr_echo_x,sqrt_av_autocorr_echo_x,forward_upper_env_x,forward_lower_env_x,echo_upper_env_x,echo_lower_env_x,sqrt_echo_upper_env_x,sqrt_echo_lower_env_x,av_autocorr_y,av_autocorr_echo_y,sqrt_av_autocorr_echo_y,forward_upper_env_y,forward_lower_env_y,echo_upper_env_y,echo_lower_env_y,sqrt_echo_upper_env_y,sqrt_echo_lower_env_y,av_autocorr_xy,av_autocorr_echo_xy,sqrt_av_autocorr_echo_xy,forward_upper_env_xy,forward_lower_env_xy,echo_upper_env_xy,echo_lower_env_xy,sqrt_echo_upper_env_xy,sqrt_echo_lower_env_xy,av_autocorr_yx,av_autocorr_echo_yx,sqrt_av_autocorr_echo_yx,forward_upper_env_yx,forward_lower_env_yx,echo_upper_env_yx,echo_lower_env_yx,sqrt_echo_upper_env_yx,sqrt_echo_lower_env_yx
10,0.43359375,0.30078125,0.5484352742120077,0.43390236742617616,-0.4145790661129929,0.30235798418564014,0.2493522259964097,0.5498271199848577,0.49834554382838164,0.416015625,0.3125,0.5590169943749475,0.42512819531149726,-0.4004592000660113,0.3125,0.2800702888881532,0.5590169943749475,0.5271262740608953,0.1796875,0.072265625,0.2688226645950821,0.1834516310399018,-0.06343951946506998,0.11401898719365366,0.03773898720878031,0.33856349778917283,0.18214396009493877,0.1328125,0.103515625,0.3217384419058438,0.1699908712288598,-0.11455432713442779,0.11097098000351394,0.039395289178694115,,
11,-0.4140625,0.21484375,0.46351240544347894,0.4289472544322511,-0.4140625,0.26406477959492636,0.21484375,0.5127158031704327,0.46351240544347894,-0.400390625,0.240234375,0.49013709816744133,0.40860471831173345,-0.400390625,0.284418968919268,0.240234375,0.5306654123298102,0.49013709816744133,0.072265625,0.015625,0.125,0.16763767761235263,-0.055429342415484154,0.09648515939095553,0.015625,,,-0.08984375,0.08203125,0.28641098093474,0.16404921327659203,-0.0909762481097495,0.08203125,0.0149713161590778,,
12,0.419921875,0.23046875,0.480071609241788,0.419921875,-0.39251236595249406,0.2325980914095741,0.18960761910028118,0.4822062017415465,0.4362006421084337,0.408203125,0.216796875,0.46561451330472936,0.408203125,-0.3964119470612526,0.25539319013666983,0.21416575329169654,0.5012020265415263,0.4618613870998822,-0.029296875,0.08203125,0.28641098093474,0.15859644520420624,-0.029296875,0.08288797285941206,0.0021095104806705322,,,0.02734375,0.001953125,0.04419417382415922,0.15530452884055646,-0.0698021351910029,0.052055527229960305,0.0011360864302563584,,
13,-0.361328125,0.18359375,0.42847841252506524,0.381575519010588,-0.361328125,0.208088284248801,0.16777992771765587,0.4584206804288832,0.4113997778505243,-0.384765625,0.20703125,0.4550068680800324,0.3904808046731416,-0.384765625,0.22609071717278337,0.18011009270595396,0.47118229328520944,0.4226600957592476,0.150390625,0.01171875,0.10825317547305482,0.150390625,0.006542571553286438,0.0723122484997745,-0.007657582530491864,,,0.140625,-0.005859375,,0.140625,-0.05360692537101907,0.03982868586176628,-0.005859375,,
14,0.333984375,0.17578125,0.4192627457812106,0.333984375,-0.31194263039548986,0.18868453280549913,0.1497375186322917,0.4386959296798935,0.3889915007047602,0.361328125,0.140625,0.375,0.361328125,-0.3521328124120381,0.19813884852829206,0.140625,0.44217249311675694,0.37403375725811083,0.0625,-0.013671875,,0.12956259922530594,0.03162276461163046,0.06375719720109084,-0.013671875,,,-0.041015625,0.03515625,0.1875,0.10342281790437516,-0.042082382188241965,0.0421747305547467,-0.0028898764721328653,,
15,-0.267578125,0.1484375,0.385275875185561,0.29547427119719066,-0.27672656751427477,0.17143781536260191,0.13395948860477067,0.4188245085811165,0.3672306504769671,-0.3203125,0.171875,0.414578098794425,0.326581199486976,-0.32513861100262476,0.17317509247015653,0.10611464255480577,0.41574688077567784,0.3233824264129405,0.04296875,0.03515625,0.1875,0.10811265954847726,0.03462763373922505,0.056174575236241295,-0.012199459685509501,,,0.060546875,0.052734375,0.22963966338592295,0.06867310685394709,-0.03435300432408692,0.05416675558593461,0.0012521411983157764,,
16,0.287109375,0.119140625,0.3451675317871019,0.30478269080682885,-0.26721997920928964,0.15318312464372213,0.11891846990681383,0.3942952873045882,0.34436390440247516,0.318359375,0.076171875,0.27599252707274524,0.3353374114916924,-0.31023842393039436,0.15283707178550976,0.076171875,0.3934798004457307,0.27599252707274524,0.087890625,0.048828125,0.2209708691207961,0.0910304052537982,0.01526522305214914,0.048828125,-0.008228089109849856,,,0.05078125,0.021484375,0.14657549249448218,0.05078125,-0.02951101906086616,0.06866537412500215,0.004660187161004663,,
17,-0.27734375,0.1328125,0.3644344934278313,0.3238056387956003,-0.27830870666140883,0.1328125,0.10309182899724662,0.3644344934278313,0.31864575848212573,-0.3046875,0.095703125,0.30935921676911454,0.35140336198195266,-0.3046875,0.13875989673815428,0.07426440428414138,0.37694387119879447,0.26947923214272546,-0.013671875,-0.001953125,,0.08262159111799003,-0.013671875,0.03969904523358876,-0.001953125,,,0.005859375,0.005859375,0.07654655446197431,0.009674528490123376,-0.02664866972046106,0.0704823046610409,0.003498108988990949,,
18,0.28515625,0.09375,0.30618621784789724,0.28515625,-0.29318296831496415,0.10177736986928089,0.08536170077409719,0.31452161838213566,0.2889966954871395,0.310546875,0.119140625,0.3451675317871019,0.310546875,-0.29165907305901995,0.13236695011799623,0.0913580948362143,0.3675662586115376,0.29564902843537405,0.080078125,0.01171875,0.10825317547305482,0.080078125,0.011647652784703425,0.028971302133196486,0.006626682059960712,,,-0.0234375,0.0546875,0.23385358667337133,-0.015888364545118612,-0.024890172940144614,0.0546875,-0.005520764875392143,,
19,-0.30078125,0.064453125,0.2538762001448738,-0.15326919821146068,-0.30078125,0.07474606105686325,0.064453125,0.27066257850094644,0.2538762001448738,-0.267578125,0.1328125,0.3644344934278313,-0.12199382691043394,-0.27490204430162013,0.1328125,0.12026544830753161,0.36478441002786777,0.34340766500641273,0.076171875,0.015625,0.125,0.07716148944124498,0.0554611953672971,0.019278650461406047,0.01325156701434638,,,-0.0234375,-0.0234375,,-0.02297388657446879,-0.023804404052065242,-0.0035658834331564835,-0.0234375,,
